ID,Customer_Years,Years_Education,Salary_Invested,Area,Children,CMV,Abandoned
142,19.0,20,1.883005058658917,1,0,-12.11,0
143,32.0,20,4.6121642969984205,2,1,210.71,0
144,20.0,16,2.815437523882308,4,1,-42.45,0
145,20.0,12,2.768077845415975,4,1,-44.78,0
146,33.0,9,1.9127512398851476,1,1,-96.11,1
147,24.0,16,2.327533447196129,4,1,72.8,0
148,37.0,12,1.9685982152942507,3,1,374.41,0
149,34.0,16,1.8843588775638607,3,1,521.99,0
150,27.0,9,6.451558265582655,4,1,255.71,0
151,23.0,12,2.0828585639356123,4,0,463.54,0
152,39.0,12,6.392961023851076,3,1,433.97,0
153,35.0,12,5.8407967294162395,4,0,10.34,0
154,26.0,16,2.836055027711797,3,1,-40.55,1
155,19.0,16,2.0685455065009286,2,0,477.21,1
156,30.0,16,6.676206302314131,3,0,589.33,1
157,32.0,12,1.550065359477124,4,0,130.04,0
158,28.0,16,4.598362969235112,3,1,343.07,0
159,40.0,16,1.6288874288217254,2,1,413.31,1
160,20.0,16,2.2269471799462845,2,1,-52.0,1
161,33.0,16,1.5874702574086093,4,1,509.11,1
162,41.0,16,2.4005835156819835,1,0,471.21,0
163,32.0,16,3.221196529459241,1,1,423.64,0
164,25.0,12,2.348638750690989,4,1,103.02,1
165,19.0,16,3.5406562054208273,2,1,269.61,0
166,35.0,16,2.4576952822892495,4,0,446.08,0
167,21.0,9,2.509446133996866,4,1,493.43,0
168,20.0,16,1.357870138541145,2,0,188.93,0
169,39.0,12,7.369920891765551,4,1,205.16,0
170,28.0,16,1.483912181894034,3,0,211.84,1
171,32.0,9,1.703694245829077,4,0,455.87,0
173,29.0,12,2.091094927813977,4,1,437.31,0
174,23.0,12,2.4189926487479902,2,1,5.34,0
175,26.0,20,3.135616987179487,1,1,38.01,0
176,39.0,12,1.6675718290119133,4,1,360.63,1
177,31.0,16,1.7667552637064832,4,0,-57.9,0
178,29.0,12,2.6180060231415436,3,1,453.2,0
179,28.0,16,2.912582112177867,3,1,74.35,0
180,32.0,12,3.7145869273528844,3,0,284.07,0
181,36.0,16,2.36592970521542,3,0,61.13,0
182,34.0,12,1.7842825714984114,1,0,-25.66,1
183,21.0,12,11.069410815173528,1,0,133.92,0
184,39.0,16,2.383371298405467,2,1,465.65,1
185,23.0,12,1.8380873639244864,4,1,-62.23,0
186,33.0,16,5.086356209150327,1,1,426.64,0
187,23.0,9,9.555800588078055,2,1,-128.24,0
188,32.0,20,2.4476351351351346,4,1,422.99,1
189,39.0,16,2.903679297089511,3,1,201.82,0
190,30.0,16,1.6343910151564711,2,1,9.34,0
191,38.0,16,1.9356234096692113,4,1,18.34,1
192,20.0,9,5.711249439210409,2,0,872.07,0
193,38.0,16,1.4662340105342362,4,1,436.42,1
194,25.0,20,2.0385772198247682,2,1,-25.0,0
195,26.0,16,2.1147651482900525,4,1,-101.0,1
196,30.0,16,1.7846976993044403,4,0,379.63,0
197,22.0,16,1.281354002452268,4,1,-51.54,1
198,26.0,20,1.272713116212849,3,0,168.71,1
199,21.0,16,1.4404440444044404,4,1,-30.78,0
200,20.0,16,2.066956431749974,4,1,278.38,0
201,27.0,16,2.4007997936016507,1,1,303.09,1
202,25.0,9,2.3876892529163563,3,1,263.62,0
203,27.0,16,4.356394129979036,4,1,183.26,0
204,20.0,12,3.2285908710217757,3,1,50.9,0
205,33.0,12,2.2343937215432543,1,1,-122.24,0
206,40.0,12,2.7486449864498645,3,1,328.73,0
207,38.0,12,2.256206896551724,1,0,260.72,0
208,19.0,16,1.3503367003367002,3,0,45.02,0
209,24.0,12,2.0874010554089706,4,1,410.86,0
210,31.0,12,7.669721267659411,1,1,63.35,1
211,32.0,16,2.0952838241570637,1,1,431.33,1
212,23.0,16,2.197916666666667,4,1,-60.0,1
213,30.0,16,1.80200562222943,4,1,496.65,1
214,20.0,9,2.036353696870302,1,1,-146.91,1
215,23.0,20,3.190957116221255,1,1,443.09,1
216,32.0,16,3.319563152896486,1,1,324.4,0
217,24.0,16,1.8630604288499026,3,1,391.2,0
218,23.0,16,3.720714111029592,4,1,312.73,0
219,25.0,12,1.8500166002656044,4,1,57.23,1
220,31.0,12,4.964480874316939,4,1,31.01,0
221,26.0,12,1.6716282146696435,1,1,249.05,0
222,32.0,20,1.4879837702871412,3,1,-25.0,0
223,23.0,16,3.254739744915546,4,1,183.92,0
224,33.0,16,3.624739138683361,4,0,436.53,0
225,31.0,12,2.114226754066521,1,1,511.54,0
226,38.0,16,1.9981098960442825,1,1,-47.0,1
227,39.0,16,1.541037606368378,2,0,84.02,0
228,35.0,12,4.31819124662933,4,1,807.72,0
229,19.0,16,6.116847009317703,4,0,-189.25,0
230,36.0,16,1.7011779293242406,1,1,279.94,0
231,36.0,12,1.665355019237496,1,0,-69.12,0
232,41.0,12,1.7846446810352288,3,0,461.99,0
233,31.0,12,2.118198626518753,4,1,514.32,0
234,21.0,12,6.11010101010101,1,1,114.36,0
235,25.0,9,3.834006734006734,2,1,-13.33,0
236,38.0,16,1.8889862409138105,1,1,374.2,1
237,29.0,12,2.483067450321858,4,0,752.03,0
238,38.0,12,2.6040811673506608,4,1,293.06,0
239,24.0,12,4.413269807658374,4,1,549.65,0
240,24.0,12,2.10363186917665,1,0,564.43,0
241,24.0,16,1.99200441135925,1,1,481.77,1
242,33.0,12,10.256490134994808,4,1,381.53,0
243,41.0,16,1.3746459550362897,1,0,51.35,0
244,31.0,16,1.7373050417120055,4,0,493.09,0
245,27.0,16,5.1345622756144715,3,1,161.25,0
246,32.0,9,13.718050647820967,3,1,-20.55,0
247,26.0,16,3.417633883119527,2,1,308.73,0
248,22.0,16,2.0305567182921727,3,1,557.12,0
249,33.0,16,2.7935699871583197,3,1,-58.99,1
250,29.0,20,2.0689476412649044,4,1,535.88,0
251,25.0,12,5.907272535359932,4,1,704.24,1
252,38.0,16,2.8390624999999994,4,1,-25.0,0
253,41.0,16,2.296643668247808,2,1,-20.0,1
254,26.0,16,1.3175582990397803,3,0,348.61,0
255,21.0,12,3.053249255561394,4,1,7.0,0
256,40.0,9,2.4666623286482734,1,0,875.63,0
257,26.0,20,2.0653933220147143,3,1,302.95,0
258,25.0,16,31.245833333333334,1,0,1105.42,0
259,20.0,12,1.479425353739532,4,1,37.02,0
260,32.0,20,5.143977241187899,4,1,455.97,0
261,29.0,20,2.051015354135711,4,1,582.11,1
262,24.0,16,5.5115740740740735,3,1,338.84,0
263,34.0,9,7.42078410311493,1,1,255.95,0
264,36.0,16,1.465832029212311,4,0,320.97,1
265,22.0,16,1.8204726826273787,4,1,-41.33,1
266,19.0,16,11.217177449867576,1,1,1160.88,0
267,23.0,16,4.39853094123765,4,1,572.77,1
268,32.0,12,2.6711170449488204,3,1,431.42,0
269,40.0,12,3.698340208210567,4,1,-42.67,0
270,33.0,12,1.3687240468101167,4,1,259.06,0
271,36.0,16,1.4054439484126984,2,0,210.71,0
272,33.0,9,2.4628042975656195,4,1,152.59,0
273,36.0,12,3.0224609375000004,1,1,373.07,0
274,23.0,12,2.4396254312469194,3,1,417.44,1
275,21.0,12,1.5305203756353922,1,0,-25.0,0
276,26.0,12,1.8582572298325728,1,0,222.16,0
277,21.0,16,1.8380655586334258,1,1,-60.0,1
278,25.0,9,2.2889569855861986,3,0,287.95,0
279,32.0,12,1.52636426433341,1,1,321.62,0
280,18.0,9,1.9851991184070525,1,0,193.04,0
281,31.0,16,5.356877323420075,3,1,241.05,1
282,39.0,16,1.5407071034706454,1,1,-175.0,1
283,21.0,12,2.0604933167975745,2,1,473.43,1
284,28.0,9,6.652615144418422,3,1,284.06,0
285,21.0,16,1.9101408450704227,4,0,10.34,0
286,24.0,12,2.500085164367228,2,1,414.98,0
287,29.0,16,2.3192971826719178,3,1,698.57,0
288,28.0,12,2.4464204286365714,3,1,618.8,0
289,40.0,9,5.959511924570161,1,1,172.26,0
290,29.0,12,6.939671101256469,1,0,73.02,0
291,22.0,16,3.2090285019117135,1,1,144.26,1
292,24.0,12,5.572147651006713,4,0,562.11,0
293,42.0,12,2.901378802231344,4,1,-133.24,0
294,39.0,12,3.1699169799498743,1,1,541.54,0
295,22.0,16,1.3644407190090337,4,0,390.75,1
296,25.0,12,4.806237218813907,4,0,190.82,0
298,24.0,16,1.4178155861934096,1,1,-111.55,1
299,29.0,20,1.6236717827626916,4,0,-43.78,0
300,25.0,12,1.5113952195664258,4,0,-25.0,0
301,31.0,16,2.441008018327606,4,1,29.01,0
302,40.0,9,8.079436651079936,1,0,1356.71,0
303,22.0,12,2.4232804232804233,1,1,-59.34,0
304,39.0,16,2.996838569452677,2,1,-86.45,0
305,21.0,16,2.578003182179793,3,1,-20.0,0
306,27.0,16,1.3909566517189835,3,0,-37.31,1
307,20.0,16,3.241995073891625,1,1,81.14,0
308,23.0,16,1.7768438177874186,4,0,345.5,0
309,41.0,20,1.2040634612271328,4,0,-50.22,1
310,38.0,12,3.5892123926838373,3,0,13.23,0
311,31.0,12,3.4004910456383595,2,1,9.45,0
312,40.0,16,1.5901663695781343,3,1,145.47,1
313,25.0,16,2.039594843462247,4,1,683.8,0
314,34.0,20,1.8270030234315948,1,1,417.99,1
315,41.0,9,2.3506343713956173,3,1,-102.57,0
316,40.0,16,1.6584941749260995,3,0,151.04,0
317,36.0,9,7.545145527937114,4,1,14.23,0
318,29.0,16,3.3029792017987636,4,1,331.5,0
319,32.0,12,2.0478229835831545,4,0,25.23,0
320,26.0,12,2.6351763169351328,4,1,320.62,0
321,42.0,16,1.8722741433021808,4,1,377.97,1
322,30.0,12,2.70127875410773,4,1,591.0,0
323,24.0,12,1.3264493709861882,4,0,320.85,1
324,36.0,12,6.330326857847672,1,1,346.53,0
325,37.0,16,3.830780452224654,3,1,-69.23,0
326,34.0,12,2.6870022030164376,3,1,-16.22,0
327,36.0,20,1.8765441322972702,1,0,242.16,0
328,25.0,12,4.43536638399652,4,1,205.48,0
329,21.0,9,3.593541202672606,1,1,-222.37,0
330,37.0,12,1.163443616029823,1,1,-47.77,1
331,37.0,12,6.536242083040113,4,1,825.73,0
332,19.0,16,1.448458221462859,4,0,402.08,0
333,27.0,16,1.298731408573928,4,0,-33.77,1
334,21.0,16,4.923251589464125,1,0,214.82,0
335,29.0,16,2.566533746861616,3,1,549.32,1
336,26.0,16,1.4867319051397339,3,1,470.19,0
337,40.0,16,2.034508309516249,3,1,176.25,0
338,29.0,16,1.1783956692913387,1,0,59.7,0
339,28.0,16,2.287512374487343,3,1,46.89,0
340,37.0,9,4.975672877846791,1,0,455.43,0
341,35.0,16,3.4454586739327877,1,1,361.73,0
342,27.0,12,1.6297204066811906,1,0,103.9,0
343,42.0,20,1.2680720302561457,4,1,455.1,1
344,40.0,16,8.857097186700766,1,1,413.41,0
345,33.0,12,2.037032967032967,4,1,278.85,1
346,27.0,16,1.5774743366259927,1,1,52.78,0
347,41.0,12,2.138575369952345,1,1,-31.22,1
348,25.0,16,1.7532149418248624,4,1,26.45,0
349,41.0,16,5.160728910728911,3,1,219.49,0
350,31.0,16,3.639096045197739,4,1,467.2,0
351,32.0,12,2.8321900785366343,4,0,34.01,0
352,41.0,12,3.9804081632653054,1,1,-39.67,0
353,36.0,12,6.1194471077021415,1,0,199.92,0
354,20.0,16,4.145183776932827,1,1,490.32,1
355,42.0,9,5.116858237547893,4,1,113.36,0
356,38.0,12,3.0217812605325243,1,1,304.84,0
357,31.0,16,4.26401973979363,4,1,211.15,0
358,31.0,16,2.740795529257068,4,1,-32.89,0
359,28.0,12,1.977008204541118,3,0,-33.89,0
360,38.0,9,2.377284595300261,3,1,-17.0,0
361,21.0,12,2.6562452972159516,1,1,124.15,1
362,28.0,16,1.2877036258539147,4,0,-23.88,0
363,26.0,12,1.698701544877263,4,0,8.56,0
364,30.0,12,1.6466838020360852,1,1,414.64,1
365,29.0,16,1.0735839769801605,2,0,30.24,1
366,41.0,12,2.354357911361169,3,0,646.25,0
367,31.0,12,7.077588537442553,1,1,37.79,0
368,39.0,20,1.6774523160762944,4,1,-121.0,1
369,26.0,12,1.8927622841965468,3,1,417.64,0
370,35.0,12,4.321104471004869,4,1,508.2,1
371,31.0,16,2.5283248237296374,4,0,328.62,0
372,29.0,16,1.6468215025624247,4,1,447.43,1
373,29.0,12,2.7125416204217534,4,1,-28.33,0
374,42.0,16,1.93886573196918,1,1,483.32,0
375,36.0,12,2.727117306680694,4,1,8.78,0
376,24.0,16,1.7499086257309944,3,0,340.41,0
377,24.0,12,2.1456887689539963,4,1,123.59,1
378,27.0,9,5.537426253687315,3,1,656.01,0
379,26.0,16,1.659620198062901,1,0,409.75,0
380,20.0,16,1.387709611451943,4,0,46.46,0
381,40.0,12,2.2676870748299325,4,0,407.41,0
382,39.0,16,7.760872675250359,4,1,570.1,0
383,23.0,16,1.9503658234126986,4,1,0.0,1
384,38.0,9,2.4974874371859297,2,0,344.96,0
385,23.0,16,2.8030716103235185,4,1,38.24,1
386,35.0,20,2.6555918663761795,1,1,178.36,0
387,19.0,12,3.0533175355450237,1,1,190.82,0
388,35.0,16,1.773380213968025,4,1,404.88,1
389,30.0,16,1.7189284145805883,1,1,290.07,0
390,31.0,16,3.629584352078239,1,1,-34.78,0
391,20.0,20,3.5969152854511974,4,1,501.99,1
392,25.0,16,1.914971964181103,1,0,455.75,0
393,30.0,12,5.423423423423424,1,0,590.55,0
394,23.0,20,2.7266168026594135,4,1,503.31,0
395,27.0,12,10.015717674970343,1,1,995.86,0
396,40.0,16,1.4497980096561236,1,1,351.07,0
397,27.0,16,2.377105896510229,4,1,313.51,0
398,30.0,9,17.44417670682731,1,1,-218.48,0
399,25.0,12,1.9065001601024651,4,1,440.77,1
400,38.0,16,6.473251028806584,1,1,386.2,0
401,40.0,16,3.5888963812092602,4,1,392.75,1
402,26.0,12,3.775364097529046,1,1,71.13,0
403,39.0,16,2.396534728541098,4,1,607.11,0
404,22.0,12,2.027681660899654,3,0,334.51,0
405,38.0,9,4.803407601572739,4,1,62.45,0
406,41.0,12,1.7355917667238423,4,1,421.22,1
407,20.0,20,1.5624697101870701,4,1,-73.9,0
408,39.0,16,2.559158284806776,4,1,272.4,1
409,22.0,16,2.0694626474442988,1,1,-82.9,0
410,38.0,9,3.7178398058252426,3,1,441.2,0
411,29.0,12,1.7410353972097312,4,0,52.13,1
412,33.0,12,2.1490943984646753,4,1,-7.44,0
413,24.0,16,1.9451572327044027,2,1,506.99,0
414,39.0,20,3.089887640449438,3,1,306.94,0
415,28.0,12,2.209447415329768,4,1,-45.78,1
416,26.0,16,3.76439182915506,4,1,379.08,0
417,37.0,12,1.1493695634825631,4,0,-36.32,1
418,21.0,16,1.9356075124568801,4,1,-39.0,1
419,22.0,20,2.5037183936539416,1,1,457.75,0
420,29.0,12,1.5723050636843736,1,1,379.3,1
421,29.0,16,2.291364619102124,4,1,194.14,0
422,37.0,12,2.5266320046216055,4,1,-52.56,0
423,24.0,16,1.82937181663837,4,0,398.08,0
424,20.0,12,1.589222329783801,1,1,64.13,1
425,23.0,16,3.0472706809229035,1,0,396.19,0
426,35.0,16,2.5495634309193638,4,1,271.39,0
427,36.0,16,2.5229396771452843,1,1,-19.89,0
428,28.0,16,3.223908413205538,4,0,500.88,0
429,22.0,16,4.460137085137085,3,1,210.71,0
430,21.0,9,2.552353585112206,3,1,354.97,0
431,36.0,16,1.4867347746891582,1,0,129.81,0
432,40.0,12,2.0138203017832645,1,1,-13.32,1
433,20.0,12,16.28052064631957,3,0,575.1,0
434,32.0,16,1.4958906727828747,3,0,-32.89,0
435,32.0,16,1.4144836750189822,4,1,437.65,0
436,27.0,12,4.239116915422886,3,1,19.12,0
437,42.0,16,1.8855283307810107,1,1,-51.11,1
438,21.0,16,1.6634267200304937,4,0,-41.78,0
439,29.0,9,4.328587570621469,1,1,325.97,0
440,24.0,9,1.5359289260517377,4,0,132.81,0
441,31.0,16,1.1200764596848936,4,0,288.07,1
442,23.0,20,1.612304137075865,1,1,284.53,1
443,36.0,16,2.77127575900582,1,1,139.13,0
444,24.0,16,4.771037763901279,4,1,-36.67,0
445,35.0,12,6.354142581888246,3,1,-34.78,0
446,38.0,9,2.1272915052930546,2,1,-59.34,0
447,29.0,16,1.8921032894031926,2,0,-48.56,0
448,30.0,12,7.216691804927098,2,0,652.9,0
449,25.0,12,2.297994375370041,1,1,427.53,0
450,28.0,16,1.4149335644136334,4,0,-54.67,1
451,25.0,16,1.5396460250352315,4,0,46.01,0
452,22.0,12,1.9516981284285255,4,0,719.91,0
453,29.0,16,4.522778808493094,4,1,243.6,0
454,30.0,16,1.9831804281345562,3,1,484.65,0
455,22.0,16,4.518496997869455,1,1,336.61,0
456,24.0,12,2.3133687653311528,3,0,-67.23,0
457,33.0,16,3.584469696969697,4,1,236.28,0
458,19.0,16,3.9443717277486905,4,1,508.87,0
459,23.0,9,1.511034604519774,3,0,259.16,0
460,35.0,16,1.8320545609548167,4,1,-51.67,0
461,30.0,9,1.4804385746324444,3,0,439.43,0
462,21.0,16,1.815032184778493,4,1,-26.21,1
463,24.0,9,9.404706790123456,4,0,481.43,0
464,22.0,9,9.456349206349207,4,0,52.35,0
465,23.0,20,1.2157189946435931,4,1,411.2,1
466,25.0,12,2.311016034535924,1,0,343.97,0
467,34.0,16,3.492410802286615,4,1,103.35,0
468,21.0,16,1.8554174633524534,1,1,445.66,1
469,39.0,9,6.659440466719703,4,1,220.92,0
470,28.0,9,2.2524074838354653,1,1,307.84,0
471,39.0,16,2.1623249299719887,4,1,501.21,0
472,38.0,12,3.066118693134822,4,1,234.07,1
473,29.0,16,1.6960602310231023,2,1,38.8,0
474,41.0,16,1.9322998946814114,3,1,499.88,1
475,29.0,12,1.5723050636843736,1,1,414.32,1
476,34.0,9,11.776828921150013,4,0,9.34,0
477,39.0,12,2.794913596348223,2,1,1003.64,0
478,25.0,16,1.9184659675097675,4,1,314.84,0
479,22.0,9,2.806017418844022,4,0,3.34,0
480,27.0,12,2.4914326853851687,4,1,401.86,0
481,32.0,9,5.9706936538056095,4,1,866.27,0
482,34.0,16,8.548132922233641,1,1,841.61,0
483,36.0,9,2.12846034214619,4,0,-109.46,0
484,31.0,9,8.251110053916905,1,0,352.73,0
485,26.0,12,2.0325172149961745,4,1,12.78,0
486,39.0,12,2.3972755921520794,1,0,88.47,0
487,38.0,16,3.4054196264141017,4,1,586.66,0
488,34.0,12,2.1362881806108893,1,1,186.37,0
489,39.0,16,0.9756400458540313,3,0,-52.56,0
490,31.0,12,3.0881710362047436,4,1,412.42,1
491,22.0,12,1.9547258877802811,4,1,-3.33,0
492,24.0,16,2.085079631181894,4,1,567.0,1
493,37.0,12,3.7304227304227306,4,1,139.59,0
494,41.0,9,1.5818565400843883,4,1,72.02,0
495,24.0,16,7.022191400832177,3,0,59.35,0
496,33.0,16,3.520383693045564,1,1,299.62,0
497,36.0,16,5.8309219858156025,4,1,23.01,0
498,39.0,9,7.164880952380952,4,1,-64.12,0
499,20.0,12,1.5320494994438265,4,1,390.97,1
500,32.0,16,2.175040758855787,4,1,230.72,1
501,36.0,16,2.005148270181219,1,1,474.55,1
502,38.0,12,2.183783058128608,1,1,625.68,0
503,26.0,12,3.733303584709207,1,0,17.9,0
504,22.0,16,1.7074205644365503,4,0,328.4,0
505,40.0,16,1.625466169419286,4,0,33.79,0
506,39.0,16,3.3488063660477456,1,1,-72.9,0
507,18.0,9,2.264671831863924,1,0,-46.67,0
508,38.0,12,1.6117424242424243,1,1,-25.0,0
509,25.0,12,2.5506479481641473,1,1,323.4,0
510,33.0,12,2.473089389286933,4,1,29.79,1
511,27.0,9,14.00954861111111,2,1,194.93,0
512,31.0,12,1.820013898540653,1,1,195.15,0
513,29.0,20,3.9246898597626756,1,1,-103.22,1
514,39.0,12,2.5634465519776497,1,1,-25.0,0
515,40.0,12,3.6815034619188918,1,1,625.79,0
516,28.0,16,1.6108044823549088,4,0,454.09,0
517,23.0,16,2.682828529555447,4,1,226.49,0
518,20.0,16,2.511408967608106,1,1,461.2,0
519,28.0,12,10.572178477690288,4,1,208.93,0
520,21.0,12,2.718238993710692,4,1,572.46,0
521,33.0,9,3.835384041759881,1,1,544.87,0
522,35.0,20,1.7989456026839206,4,1,526.44,1
523,33.0,9,6.110260210803689,4,0,717.03,0
524,35.0,16,1.678018750705975,4,1,-66.1,1
