,ID,First_Policy,Education,Salary,Area,Children,CMV,Claims,Motor,Household,Health,Life,Work_Compensations,Abandoned,Education_Class,Higher_Education,Years_Education,Customer_Years,Annual_Profit,Total_Premiums,Salary_Invested,Motor_Share,Household_Share,Health_Share,Life_Share,Work_Share,Incoherent
10,11,1990,BSc/MSc,3995.0,4,0,290.17,0.53,296.5,116.7,227.71,18.67,10.89,0,3,1,16,26.0,11.160384615384617,670.4699999999999,1.398560700876095,44.22270944262981,17.405700478768626,33.96274255373097,2.7846137783942613,1.6242337464763525,0
11,12,1985,BSc/MSc,2834.0,3,1,405.74,0.46,249.49,216.7,252.38,36.34,35.45,0,3,1,16,31.0,13.088387096774193,790.36,2.3240414020230533,31.56662786578268,27.41788552052229,31.932284022470768,4.597904752264792,4.485297838959461,0
12,13,1981,BSc/MSc,3757.0,1,0,2.34,0.97,206.04,340.05,257.05,43.12,15.78,0,3,1,16,35.0,0.06685714285714285,862.0400000000001,1.9120752373347532,23.90144308848777,39.44712542341423,29.818801911744234,5.002088070159156,1.8305415061946078,0
13,14,1983,Basic,1043.0,3,1,-75.12,1.06,44.34,342.85,127.69,267.94,94.46,0,1,0,9,33.0,-2.2763636363636364,877.2800000000002,7.009268136784917,5.054258617545139,39.08102316250227,14.555216122560639,30.5421302206821,10.767371876709827,0
14,15,1983,High School,1981.0,1,1,-89.0,1.12,504.43,0.0,72.79,10.89,16.89,1,2,0,12,33.0,-2.696969696969697,605.0,2.5450109372370857,83.37685950413223,0.0,12.031404958677687,1.8000000000000003,2.7917355371900827,0
15,16,1988,BSc/MSc,974.0,4,1,290.06,0.53,318.06,93.9,247.49,0.0,19.67,1,3,1,16,28.0,10.359285714285715,679.12,5.810403832991102,46.83413829661915,13.826716927788905,36.442749440452346,0.0,2.8963953351395926,0
16,17,1991,High School,2437.0,1,1,100.58,0.89,119.8,647.35,168.92,125.58,37.23,0,2,0,12,25.0,4.0232,1098.8799999999999,3.7576254958282034,10.902009318578918,58.90998107163659,15.37201514269074,11.427999417588818,3.387995049504951,0
17,18,1981,BSc/MSc,2728.0,4,1,78.91,0.85,446.64,107.8,86.35,3.89,27.56,0,3,1,16,35.0,2.2545714285714284,672.2399999999999,2.0535190615835774,66.44055694394861,16.035939545400453,12.845114839938118,0.5786623824824468,4.099726288230395,0
18,19,1981,Basic,1414.0,3,1,230.38,0.71,313.17,373.4,121.8,14.78,72.57,0,1,0,9,35.0,6.582285714285714,895.7199999999998,5.278877887788778,34.96293484571073,41.68713437234851,13.597999374804628,1.6500692180592154,8.101862189076945,0
19,20,1988,PhD,2751.0,1,1,352.96,0.36,402.41,9.45,125.69,24.45,30.56,0,4,1,20,28.0,12.605714285714285,592.56,1.7949836423118863,67.91042257324153,1.594775212636695,21.21135412447685,4.126164439044148,5.157283650600783,0
20,21,1986,PhD,1704.0,4,1,373.73,0.39,329.84,65.0,221.93,3.89,33.34,0,4,1,20,30.0,12.457666666666666,654.0,3.1983568075117366,50.43425076452599,9.938837920489297,33.934250764526,0.5948012232415902,5.097859327217126,0
21,22,1977,High School,2487.0,3,1,111.37,0.8,407.52,111.7,100.13,24.67,30.34,0,2,0,12,39.0,2.8556410256410256,674.36,2.2596166733681815,60.43063052375586,16.56385313482413,14.848152322201791,3.6582834094548904,4.499080609763332,0
22,23,1976,High School,1495.0,1,1,-89.79,1.08,209.04,308.95,192.48,64.79,54.9,0,2,0,12,40.0,-2.2447500000000002,830.16,4.62742474916388,25.18068806013299,37.21571745205743,23.185891876264815,7.8045196106774615,6.613183000867302,0
23,24,1998,High School,2870.0,4,1,290.05,0.64,222.04,329.5,248.38,48.01,33.56,0,2,0,12,18.0,16.11388888888889,881.49,2.5594947735191638,25.189168339969825,37.37989086660087,28.177290723661073,5.446459971185153,3.807190098583081,0
24,25,1988,BSc/MSc,3201.0,4,0,108.13,0.81,420.3,128.35,135.58,15.67,4.78,0,3,1,16,28.0,3.861785714285714,704.68,1.8345308757679888,59.64409377306011,18.213941079638985,19.239938695578136,2.2237043764545614,0.6783220752682069,0
25,26,1974,PhD,3776.0,2,0,376.3,0.41,383.74,103.9,154.14,17.56,15.78,0,4,1,20,42.0,8.95952380952381,675.1199999999999,1.4899364406779658,56.84026543429317,15.389856618082714,22.831496622822613,2.6010190780898212,2.337362246711696,0
26,27,1978,PhD,4281.0,3,0,430.86,0.38,330.84,162.8,228.82,0.0,22.78,1,4,1,20,38.0,11.33842105263158,745.24,1.4506735186482909,44.3937523482368,21.845311577478395,30.704202672964414,0.0,3.05673340132038,0
27,28,1979,PhD,3619.0,1,0,-7.22,0.97,449.75,58.9,112.91,17.78,9.78,0,4,1,20,37.0,-0.19513513513513514,649.1199999999999,1.494703877682601,69.28611042642348,9.073823021937393,17.394318461917678,2.7390929258072476,1.5066551639142225,0
28,29,1995,BSc/MSc,3639.0,4,0,264.17,0.5,301.28,18.9,258.05,0.0,0.0,1,3,1,16,21.0,12.57952380952381,578.23,1.3241504076211412,52.10383411445272,3.268595541566505,44.62757034398077,0.0,0.0,0
29,30,1980,BSc/MSc,2660.0,3,0,2.0,0.96,524.21,25.0,54.9,7.0,0.0,1,3,1,16,36.0,0.05555555555555555,611.11,1.9145050125313285,85.77997414540755,4.090916528939143,8.983652697550358,1.1454566281029601,0.0,0
30,31,1988,High School,2148.0,4,1,427.76,0.19,483.09,0.0,92.24,3.89,0.0,1,2,0,12,28.0,15.277142857142858,579.2199999999999,2.247129112352576,83.40354269534893,0.0,15.924864472911848,0.6715928317392357,0.0,0
31,32,1984,High School,3490.0,4,0,240.16,0.69,320.95,335.05,146.25,46.12,9.67,0,2,0,12,32.0,7.505,858.04,2.0488061127029606,37.40501608316629,39.04829611673116,17.04465992261433,5.375040790639131,1.126987086849098,0
32,33,1989,BSc/MSc,2126.0,4,1,-2.44,0.96,473.09,19.45,89.24,4.78,7.89,0,3,1,16,27.0,-0.09037037037037036,594.4499999999999,2.330079962370649,79.5844898645807,3.2719320380183365,15.012196147699555,0.804104634536126,1.3272773151652788,0
33,34,1987,High School,1601.0,1,1,-5.55,0.97,373.96,19.45,179.7,22.56,10.89,0,2,0,12,29.0,-0.19137931034482758,606.5599999999998,3.157193420778679,61.652598259034576,3.206607755209708,29.626088103402804,3.7193352677393836,1.7953706146135588,0
34,35,1979,BSc/MSc,3662.0,3,0,336.07,0.48,320.84,123.35,131.58,40.23,72.68,0,3,1,16,37.0,9.082972972972973,688.6800000000001,1.5671764063353362,46.58767497241098,17.91107626183423,19.106116048092005,5.84161003659174,10.553522681071033,0
35,36,1990,High School,2420.0,3,0,53.8,0.89,241.49,190.6,125.8,111.8,65.79,0,2,0,12,26.0,2.069230769230769,735.4799999999999,2.532644628099173,32.83433947897972,25.915048675694784,17.104475988470117,15.200957198020342,8.945178658835049,0
36,37,1982,High School,2401.0,4,1,7.24,0.94,320.95,0.0,145.25,26.56,84.35,1,2,0,12,34.0,0.21294117647058824,577.11,2.0030195751770097,55.61331461939665,0.0,25.16851206875639,4.602242206858311,14.61593110498865,0
37,38,1976,High School,3343.0,1,0,-31.78,1.01,495.87,68.9,68.57,3.0,9.78,0,2,0,12,40.0,-0.7945,646.1199999999999,1.6106291753913649,76.74580573268125,10.663653810437692,10.612579706556058,0.46431003528756276,1.5136507150374545,0
38,39,1985,High School,3985.0,3,0,-14.22,0.98,104.02,142.8,357.18,53.01,40.23,0,2,0,12,31.0,-0.45870967741935487,697.24,1.458051024675868,14.918822786988697,20.480752682003327,51.227697779817575,7.602834031323503,5.7698927198669026,0
39,40,1980,BSc/MSc,3858.0,1,0,-1.55,0.96,334.84,63.35,207.04,17.67,5.78,0,3,1,16,36.0,-0.043055555555555555,628.68,1.3579574909279417,53.26080040720239,10.076668575427881,32.93249347839919,2.810650887573965,0.9193866513965772,0
40,41,1994,High School,1177.0,4,1,121.36,0.84,52.01,455.65,135.47,146.36,148.03,0,2,0,12,22.0,5.516363636363637,937.52,6.63777966581705,5.54761498421367,48.60162983189692,14.449825070398498,15.611400290127145,15.789529823363768,0
41,42,1988,BSc/MSc,3256.0,1,1,402.63,0.47,265.05,270.6,130.47,108.02,25.34,0,3,1,16,28.0,14.379642857142857,799.4800000000001,2.0461711711711716,33.15279931955771,33.847000550357734,16.319357582428577,13.511282333516784,3.16956021413919,0
42,43,1994,High School,2116.0,4,1,710.8,0.19,323.84,383.4,168.92,3.0,25.56,0,2,0,12,22.0,32.309090909090905,904.7199999999999,3.5630119722747313,35.79449995578743,42.37775223273499,18.67097002387479,0.3315943054204616,2.8251834821823327,0
43,44,1994,High School,1353.0,2,1,-77.01,1.07,159.14,249.5,284.61,52.01,23.34,0,2,0,12,22.0,-3.5004545454545455,768.6,4.733924611973393,20.70517824616185,32.4616185271923,37.02966432474629,6.766848816029143,3.036690085870414,0
44,45,1985,BSc/MSc,1065.0,1,1,-128.68,1.19,111.8,0.0,208.26,224.71,44.23,1,3,1,16,31.0,-4.150967741935484,589.0,4.608763693270736,18.98132427843803,0.0,35.358234295415954,38.15110356536503,7.509337860780985,0
45,46,1991,BSc/MSc,1937.0,3,1,624.34,0.38,139.58,540.1,180.59,106.13,75.79,0,3,1,16,25.0,24.9736,1042.19,4.483694716916194,13.392951381226073,51.823563841526024,17.327934445734464,10.183363877987698,7.272186453525749,0
46,47,1976,BSc/MSc,1219.0,4,1,-94.9,1.08,269.94,300.6,143.25,59.79,69.9,0,3,1,16,40.0,-2.3725,843.4799999999999,5.766201804757998,32.003129890453835,35.63807084933846,16.98321240574762,7.0884905391947655,8.287096315265332,0
47,48,1977,High School,4233.0,3,0,279.28,0.63,254.38,265.6,209.04,72.68,22.78,0,2,0,12,39.0,7.16102564102564,824.48,1.6231199307032051,30.853386376867842,32.21424412963322,25.354162623714338,8.81525325053367,2.762953619250922,0
48,49,1985,BSc/MSc,2381.0,3,1,-132.88,1.2,468.09,0.0,92.24,1.89,14.89,1,3,1,16,31.0,-4.2864516129032255,577.1099999999999,2.0198446031079373,81.10932058013205,0.0,15.98308814610733,0.3274938919789988,2.5800973817816364,0
49,50,1986,High School,2660.0,1,1,-21.11,0.99,396.74,18.9,166.92,16.78,3.89,0,2,0,12,30.0,-0.7036666666666667,603.2299999999999,1.889818295739348,65.76927540075926,3.133133299073322,27.67103758102217,2.7816918919815,0.6448618271637685,0
50,51,1983,BSc/MSc,1569.0,4,1,420.64,0.32,435.75,102.25,105.02,4.78,9.89,0,3,1,16,33.0,12.746666666666666,657.6899999999999,3.49314850223072,66.25461843725769,15.546838176040383,15.968009244476884,0.7267861758579272,1.5037479663671336,0
51,53,1986,BSc/MSc,1960.0,3,1,-104.21,1.14,360.4,0.0,212.04,12.78,10.89,1,3,1,16,30.0,-3.4736666666666665,596.1099999999999,2.534481292517006,60.45864018385869,0.0,35.570616161446715,2.143899615842714,1.82684403885189,0
52,54,1983,High School,1148.0,1,1,-11.33,0.98,177.59,236.7,295.61,44.12,30.45,0,2,0,12,33.0,-0.3433333333333333,784.47,5.694468641114983,22.638214335793595,30.17323798233202,37.68276670873328,5.624179382258085,3.8816015908830166,0
53,55,1993,BSc/MSc,3441.0,3,0,264.5,0.59,305.17,157.25,227.6,12.89,2.78,0,3,1,16,23.0,11.5,705.6899999999999,1.7090235396687008,43.24420071136052,22.283155493205236,32.252122036588304,1.8265810766767279,0.3939406821692244,0
54,56,1995,BSc/MSc,2885.0,2,1,-15.22,0.98,559.66,44.45,17.56,0.0,10.89,1,3,1,16,21.0,-0.7247619047619048,632.56,1.8271519352975156,88.47540154293664,7.02700139117238,2.7760212469963323,0.0,1.7215758188946506,0
55,57,1995,BSc/MSc,2234.0,4,1,540.55,0.13,569.55,30.0,36.45,6.0,10.0,0,3,1,16,21.0,25.740476190476187,652.0,2.4321098179647866,87.3542944785276,4.601226993865031,5.590490797546012,0.9202453987730062,1.5337423312883436,0
56,58,1992,High School,3538.0,4,0,294.94,0.66,207.93,452.3,155.25,69.68,62.68,0,2,0,12,24.0,12.289166666666667,947.84,2.2325230827209346,21.93724679270763,47.719024307900064,16.379346725185684,7.351451721809589,6.612930452397029,0
57,59,1978,High School,2920.0,2,1,448.98,0.41,286.61,260.05,168.92,72.68,16.78,0,2,0,12,38.0,11.815263157894737,805.04,2.297488584474886,35.601957666699796,32.302742720858596,20.98280830766173,9.028122826194974,2.0843684785849153,0
58,60,1997,High School,2195.0,3,1,120.48,0.81,341.73,249.5,84.35,52.9,51.12,0,2,0,12,19.0,6.341052631578948,779.6,2.959757023538345,43.83401744484351,32.003591585428424,10.819651103129809,6.785531041559774,6.557208825038481,0
59,61,1983,BSc/MSc,4109.0,4,1,226.93,0.68,278.83,246.15,217.82,30.34,5.78,0,3,1,16,33.0,6.876666666666667,778.92,1.5797030907763445,35.797000975709956,31.60144815898937,27.96436090997792,3.8951368561598114,0.7420530991629436,0
60,62,1993,High School,1823.0,1,1,224.5,0.68,304.17,249.5,165.81,36.34,15.78,0,2,0,12,23.0,9.76086956521739,771.6,3.5271530444322545,39.42068429237947,32.33540694660446,21.489113530326595,4.709694142042509,2.045101088646967,0
61,63,1981,BSc/MSc,3762.0,3,1,-67.32,1.08,464.2,0.0,89.24,3.89,8.78,1,3,1,16,35.0,-1.9234285714285713,566.1099999999999,1.2540093921672868,81.99819823002598,0.0,15.763720831640496,0.6871456077440782,1.5509353305894615,0
62,64,1987,High School,3259.0,4,1,314.51,0.61,364.18,343.95,86.46,23.45,48.12,0,2,0,12,29.0,10.845172413793103,866.1600000000001,2.2147898128260204,42.04534958899048,39.70975339429204,9.981989470767525,2.707351990394384,5.5555555555555545,0
63,65,1982,BSc/MSc,2294.0,3,0,-124.32,1.19,452.53,0.0,104.91,17.78,0.0,1,3,1,16,34.0,-3.656470588235294,575.2199999999999,2.0895815170008714,78.6707694447342,0.0,18.238239282361533,3.0909912729042808,0.0,0
64,66,1998,BSc/MSc,3760.0,1,0,132.27,0.78,276.83,175.6,261.27,6.89,0.0,1,3,1,16,18.0,7.348333333333334,720.5899999999999,1.5970523049645389,38.41713040702758,24.368919912849197,36.2577887564357,0.9561609236875339,0.0,0
65,67,1984,BSc/MSc,2544.0,3,1,-25.0,1.0,366.07,78.35,165.81,16.56,7.89,0,3,1,16,32.0,-0.78125,634.68,2.079009433962264,57.67788491838407,12.344803680594946,26.124976366042734,2.6091888825865004,1.2431461523917564,0
66,68,1989,High School,1866.0,1,1,-90.01,1.06,152.03,530.65,202.26,32.34,97.35,0,2,0,12,27.0,-3.333703703703704,1014.63,4.531216505894962,14.983787193361126,52.299853148438345,19.934360308683953,3.1873687945359395,9.594630554980634,0
67,69,1983,High School,1399.0,4,1,476.65,0.33,330.73,186.7,211.15,0.0,15.78,0,2,0,12,33.0,14.443939393939393,744.36,4.433881343817013,44.431457896716644,25.08194959428233,28.366650545435007,0.0,2.1199419635660166,0
68,70,1989,BSc/MSc,2119.0,4,1,316.98,0.36,384.63,0.0,151.03,20.56,17.89,1,3,1,16,27.0,11.74,574.1099999999999,2.257786691835771,66.99587187124419,0.0,26.306805316054422,3.5811952413300587,3.1161275713713406,0
69,71,1994,High School,3382.0,2,0,83.9,0.84,183.48,108.9,252.38,65.68,79.68,0,2,0,12,22.0,3.813636363636364,690.1200000000001,1.700473092844471,26.5866805772909,15.779864371413666,36.57045151567843,9.517185417028921,11.545818118588071,0
70,72,1985,BSc/MSc,1159.0,4,1,195.82,0.72,150.03,236.7,286.61,70.79,33.23,0,3,1,16,31.0,6.316774193548387,777.36,5.589301121656601,19.299938252547083,30.4492127199753,36.86966141813317,9.106462900072039,4.274724709272409,0
71,73,1990,BSc/MSc,3206.0,4,1,-25.0,1.0,213.15,217.25,242.6,56.9,59.9,0,3,1,16,26.0,-0.9615384615384616,789.8,2.052921605323352,26.98784502405673,27.506963788300837,30.71663712332236,7.204355533046342,7.58419853127374,0
72,74,1993,High School,2336.0,1,1,272.61,0.63,246.49,264.5,223.71,51.12,20.78,0,2,0,12,23.0,11.852608695652174,806.6,2.877425799086758,30.559137118770145,32.79196627820481,27.734936771634022,6.3377138606496395,2.576245970741384,0
73,75,1985,High School,1440.0,1,1,-25.0,1.0,436.75,65.0,140.47,12.89,0.89,0,2,0,12,31.0,-0.8064516129032258,656.0,3.7962962962962963,66.57774390243902,9.908536585365853,21.413109756097562,1.9649390243902438,0.13567073170731708,0
74,76,1996,BSc/MSc,2934.0,4,1,234.83,0.66,289.5,211.7,217.82,22.67,29.67,0,3,1,16,20.0,11.7415,771.3599999999999,2.1908657123381046,37.53111387678905,27.445032151006014,28.238436009126737,2.9389649450321516,3.846453018046049,0
75,77,1996,BSc/MSc,4196.0,4,0,747.03,0.2,183.48,471.75,190.37,43.12,73.68,0,3,1,16,20.0,37.3515,962.4000000000001,1.9113441372735942,19.064837905236907,49.01807980049875,19.780756442227762,4.480465502909393,7.655860349127182,0
76,78,1984,High School,3284.0,4,1,74.45,0.85,290.61,99.45,180.59,51.9,50.01,0,2,0,12,32.0,2.3265625,672.56,1.7066585464880226,43.20952777447366,14.786784822172,26.851135958130136,7.716783632687046,7.435767812537172,0
77,79,1978,PhD,3091.0,3,1,-50.31,1.04,429.86,0.0,141.47,6.89,0.0,1,4,1,20,38.0,-1.3239473684210528,578.22,1.5588806211582011,74.34194597212134,0.0,24.466466050984053,1.1915879768946074,0.0,0
78,80,1978,BSc/MSc,3901.0,4,0,352.96,0.42,342.73,83.35,150.25,48.12,30.23,0,3,1,16,38.0,9.288421052631579,654.6800000000001,1.3985302913782793,52.35076678682715,12.731410765564855,22.950143581597114,7.3501558013075075,4.6175230647033665,0
79,81,1980,Basic,2318.0,4,1,14.34,0.95,355.51,304.5,136.58,39.34,21.67,0,1,0,9,36.0,0.3983333333333333,857.6,3.083117630140926,41.4540578358209,35.50606343283582,15.925839552238807,4.5872201492537314,2.5268190298507465,0
80,82,1986,High School,1431.0,3,1,274.19,0.46,368.07,0.0,163.81,29.56,17.78,1,2,0,12,30.0,9.139666666666667,579.2199999999999,3.373049149778709,63.54580297641657,0.0,28.28113670108077,5.103414937329513,3.0696453851731644,0
81,83,1992,High School,3234.0,2,1,308.31,0.35,463.31,0.0,104.02,0.89,5.78,1,2,0,12,24.0,12.84625,574.0,1.479076479076479,80.71602787456446,0.0,18.121951219512194,0.15505226480836237,1.0069686411149825,0
82,84,1995,BSc/MSc,1792.0,1,1,423.53,0.33,291.39,132.25,209.93,30.56,5.67,0,3,1,16,21.0,20.168095238095237,669.7999999999998,3.1147693452380945,43.504031054045996,19.744699910421026,31.342191699014638,4.562555986861751,0.8465213496566142,0
83,85,1997,High School,2656.0,3,1,-47.67,1.03,238.49,221.7,244.49,22.67,64.01,0,2,0,12,19.0,-2.508947368421053,791.36,2.4829317269076308,30.1367266477962,28.015062676910635,30.89491508289527,2.8646886372826526,8.088606955115244,0
84,86,1976,BSc/MSc,2479.0,3,0,317.83,0.61,399.63,344.5,114.91,7.0,8.67,0,3,1,16,40.0,7.945749999999999,874.7099999999999,2.940399354578459,45.68714202421374,39.38448171393948,13.136925380983413,0.8002652307621955,0.9911856501011765,0
85,87,1994,BSc/MSc,1631.0,4,1,-19.22,0.99,326.06,307.85,166.81,7.89,5.78,0,3,1,16,22.0,-0.8736363636363635,814.39,4.1609952994073165,40.03732855265905,37.801299131865576,20.48281535873476,0.9688232910521986,0.7097336656884294,0
86,88,1997,BSc/MSc,2423.0,2,1,-46.0,1.03,581.33,55.0,17.67,0.0,0.0,1,3,1,16,19.0,-2.4210526315789473,654.0,2.24927775484936,88.88837920489297,8.409785932721713,2.7018348623853212,0.0,0.0,0
87,89,1995,BSc/MSc,1779.0,3,1,-139.11,1.21,193.26,0.0,291.5,65.68,12.67,1,3,1,16,21.0,-6.6242857142857146,563.11,2.637764661795016,34.32011507520733,0.0,51.76608477917281,11.66379570598995,2.250004439629912,0
88,90,1989,BSc/MSc,3860.0,4,0,-54.56,1.05,216.93,48.35,315.95,12.78,16.78,0,3,1,16,27.0,-2.0207407407407407,610.79,1.3186312607944732,35.516298564154624,7.915977668265689,51.7280898508489,2.092372173742203,2.747261742988589,0
89,91,1991,BSc/MSc,1416.0,3,1,402.18,0.4,282.61,163.35,214.04,38.23,19.45,0,3,1,16,25.0,16.0872,717.6800000000001,4.2236346516007535,39.37827443986178,22.760840486010476,29.82387693679634,5.326886634711848,2.7101215026195518,0
90,92,1993,Basic,3903.0,3,0,238.94,0.64,263.94,196.15,221.93,31.34,29.56,0,1,0,9,23.0,10.388695652173913,742.92,1.5862157314885983,35.52737845259247,26.402573628385294,29.872664620685946,4.218489204759598,3.9788940935766974,0
91,93,1987,BSc/MSc,2976.0,1,1,-66.12,1.06,324.84,83.35,159.92,32.45,41.12,0,3,1,16,29.0,-2.2800000000000002,641.68,1.7968189964157704,50.62336367036529,12.989340481236752,24.92207954120434,5.057037775838425,6.408178531355192,0
92,94,1982,BSc/MSc,1986.0,4,1,400.86,0.44,393.63,192.8,136.47,11.67,20.56,0,3,1,16,34.0,11.790000000000001,755.13,3.168554884189325,52.12744825394303,25.53202759789705,18.072384887370387,1.5454292638353662,2.722709996954167,0
93,95,1992,PhD,1270.0,2,1,174.37,0.71,230.82,126.7,263.05,31.45,25.34,0,4,1,20,24.0,7.265416666666667,677.36,4.4446194225721785,34.07641431439707,18.7049722451872,38.83459312625487,4.64302586512342,3.7409944490374394,0
94,96,1976,BSc/MSc,2668.0,4,1,-25.0,1.0,296.5,70.0,200.15,60.79,8.67,0,3,1,16,40.0,-0.625,636.1099999999999,1.9868503248375808,46.61143512914433,11.004386033862069,31.464683781107045,9.556523242835361,1.362971813051202,0
95,97,1992,BSc/MSc,2831.0,4,1,-91.0,1.12,520.1,0.0,45.01,0.0,0.0,1,3,1,16,24.0,-3.7916666666666665,565.11,1.6634581419992935,92.03517899170073,0.0,7.964821008299269,0.0,0.0,0
96,98,1996,High School,3924.0,4,0,120.47,0.81,169.81,244.5,224.82,26.56,118.91,0,2,0,12,20.0,6.0235,784.5999999999999,1.6662419300033977,21.64287535049707,31.162375732857512,28.65409125669131,3.3851644149885294,15.15549324496559,0
97,99,1988,Basic,3870.0,1,1,179.26,0.68,204.26,82.8,110.02,185.48,59.68,0,1,0,9,28.0,6.402142857142857,642.2399999999999,1.3829457364341082,31.804309915296464,12.892376681614351,17.130667663178876,28.88016940707524,9.29247633283508,0
98,100,1984,High School,2805.0,1,1,14.23,0.94,427.08,142.8,104.13,1.89,37.34,0,2,0,12,32.0,0.4446875,713.24,2.118954248366013,59.87886265492681,20.02131119959621,14.599573776008077,0.26498794234759687,5.235264427121306,0
99,101,1977,High School,2744.0,4,1,-55.56,1.05,424.97,69.45,133.47,23.67,6.89,0,2,0,12,39.0,-1.4246153846153846,658.4499999999999,1.9996659378036927,64.54096742349458,10.547497911762473,20.270331839927103,3.594805983749716,1.0463968410661404,0
100,102,1981,Basic,2694.0,3,1,654.9,0.39,62.68,648.45,210.15,31.45,156.03,0,1,0,9,35.0,18.71142857142857,1108.76,3.4297203662459785,5.653162090984523,58.48425267866807,18.953605829936144,2.8365020383130704,14.072477362098201,0
101,103,1981,High School,2071.0,4,1,-25.0,1.0,190.59,317.85,188.37,6.89,118.58,0,2,0,12,35.0,-0.7142857142857143,822.2800000000001,3.308707548688235,23.178236123948047,38.65471615508099,22.908255095587876,0.837914092523228,14.420878532859852,0
102,104,1975,BSc/MSc,3194.0,2,0,257.84,0.53,234.49,48.35,219.82,67.68,28.45,0,3,1,16,41.0,6.288780487804877,598.7900000000001,1.562278230014611,39.16064062526094,8.07461714457489,36.710699911488156,11.302793967835134,4.751248350840862,0
103,105,1996,High School,2342.0,1,1,46.12,0.89,349.4,73.9,170.92,37.23,2.78,0,2,0,12,20.0,2.306,634.2299999999999,2.2567250213492738,55.090424609368846,11.65192438074516,26.9492140075367,5.87011021238352,0.43832678996578534,0
104,106,1986,BSc/MSc,2019.0,4,1,-2.65,0.97,89.24,82.25,408.41,19.56,40.34,0,3,1,16,30.0,-0.08833333333333333,639.8000000000001,2.6407462440151894,13.948108783994998,12.855579868708968,63.834010628321344,3.057205376680212,6.305095342294467,0
105,107,1979,BSc/MSc,3480.0,3,0,201.82,0.71,297.61,240.6,218.82,13.78,14.67,0,3,1,16,37.0,5.454594594594594,785.4799999999999,1.8809386973180076,37.88893415491165,30.630951774711008,27.858124968172334,1.7543412944950858,1.8676478077099354,0
106,108,1989,High School,3673.0,3,1,133.81,0.77,292.61,108.35,117.91,12.67,146.14,0,2,0,12,27.0,4.955925925925926,677.68,1.5375260912968507,43.178196198795895,15.988372093023257,17.39906740644552,1.8696139770983358,21.564750324636996,0
107,109,1991,Basic,764.0,4,1,71.24,0.93,79.68,912.95,97.24,213.04,16.56,0,1,0,9,25.0,2.8495999999999997,1319.47,14.392124781849914,6.038788301363426,69.19065988616642,7.369625683039402,16.145876753544982,1.2550493758857724,0
